No.168 รายงานผล,Lab Code,รายงานผล,RBC,WBC,PLT,Hb,Hct,MCV,MCH,MCHC,Unnamed: 11,RBC.1,WBC.1,PLT.1,Hb.1,Hct.1,MCV.1,MCH.1,MCHC.1,Unnamed: 20,Brand_N,Brand_N.1,B_M_No,3.1.2 รุ่น (Model) หากไม่มีชื่อในรายการ กรุณาเลือกอื่นๆ,โปรดระบุชื่อเครื่องมือ (Brand) หากไม่มีชื่อในรายการ,โปรดระบุชื่อรุ่น (Model) หากไม่มีชื่อในรายการ,3.1.3 ชื่อรุ่น (Model),วันที่ส่งวัตถุทดสอบ,ข้อเสนอแนะ,หมายเหตุ,หมายเหตุ แจ้งวัตถุทดสอบเสีย,Labcode_HM เดิม,Type
447,00448,R,2.09,0.62,74,5.4,21.9,104.8,25.8,24.7,,5.3,18.66,544,15.5,46.2,87.2,29.2,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN2000,21 พฤษภาคม 2568,,,,HM 855,NGPH
450,00451,R,2.2,1.46,63,5.5,16.4,74.5,24.9,33.5,,5.28,19.28,567,15.6,45.6,86.4,29.5,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,สไลด์เสมียร์เลือดย้อมสี หมายเลข C มีรอยขีด ทำให้ดูยาก,,,HM 1143,NGPH
452,00453,R,5.23,19.11,574,15.3,45.5,87,29.3,33.6,,2.21,1.41,68,5.3,16.7,75.6,24,31.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,รายงานผลสลับตัวอย่าง A กับ B,,HM 738,NGPH
453,00454,R,2.2,1.51,61,5.3,16.2,73.6,24.1,32.7,,5.27,19.12,562,15.5,45.8,86.9,29.4,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN9000,14 พฤษภาคม 2568,,,,HM 716,GNPH
463,00464,R,2.17,0.69,57,5.3,16.7,77,24.4,31.7,,4.28,18.5,585,15.2,45.1,105.4,33.5,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 732,NGPH
500,00501,R,2.17,1.51,64,5.4,16.5,76,24.9,32.7,,5.27,19.05,586,15.6,46.2,87.7,29.6,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,21 พฤษภาคม 2568,,,,HM 792,NGPH
503,00504,R,2.2,1.56,62,5.3,16.5,75,24.1,32.1,,4.54,17.84,592,15.1,48.5,106.8,33.3,31.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 922,PHRH
504,00505,R,2.19,1.46,60,5.4,16.5,75.3,24.7,32.7,,5.16,17.99,559,15.4,44.8,86.8,29.8,34.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1948,PHRH
507,00508,R,2.19,1.46,67,5.5,16.3,74.4,25.1,33.7,,5.26,18.52,588,15.5,45.8,87.1,29.5,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1271,GNPH
508,00509,R,2.16,1.46,66,5.3,16.4,75.9,24.5,32.3,,5.18,19.4,586,15.2,45.6,88,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 33,DH
510,00511,R,2.17,1.44,58,5.3,15.9,73.3,24.4,33.3,,4.2,17.55,561,15.3,44.7,106.4,36.4,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 871,NGPH
511,00512,R,2.22,1.44,58,5.4,16.6,74.8,24.3,32.5,,5.36,19.09,572,15.5,46.5,86.8,28.9,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1500,21 พฤษภาคม 2568,,,,HM 57,PHRH
512,00513,R,2.21,1.43,95,5.4,24.1,109,24.4,22.4,,5.35,18.64,581,15.5,47.1,88,29,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 48,PHRH
514,00515,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.37,18.8,595,15.7,47.2,87.9,29.2,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 328,PHCH
516,00517,R,2.13,1.32,84,5.4,21.8,102.3,25.4,24.8,,5.25,19.41,550,15.3,45.9,87.4,29.1,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 757,NGPH
519,00520,R,2.22,1.47,53,5.5,17.2,77.5,24.8,32,,5.2,18.99,552,15.5,45.9,88.4,29.8,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1324,NGPH
523,00524,R,2.23,1.42,62,5.4,16.6,74.4,24.2,32.5,,5.21,18.76,581,15.4,44.9,86.2,29.6,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 56,PHRH
524,00525,R,2.17,1.4,57,5.4,16.7,77,24.9,32.3,,5.2,18.94,571,15.5,46.2,88.8,29.8,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 895,NGPH
525,00526,R,2.15,1.59,58,5.3,16.4,76.3,24.7,32.3,,5.16,19.29,579,15.3,45.4,88,29.7,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN9100,21 พฤษภาคม 2568,-,,,HM 779,NGPH
536,00537,R,2.16,0.69,62,5.3,16.5,76.4,24.5,32.1,,5.3,18.6,568,15.4,47,88.7,29.1,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 221,PHCH
540,00541,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.19,19.18,587,15.2,44.8,86.3,29.3,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,14 พฤษภาคม 2568,,,,HM 455,PHCH
582,00583,R,2.13,1.44,59,5.3,16.3,76.5,24.9,32.5,,5.29,18.42,570,15.2,46.9,88.7,28.7,32.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN10,21 พฤษภาคม 2568,,,,HM 853,NGPH
586,00587,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.23,18.79,583,15.3,45.7,87.4,29.3,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,,,A168 สิ่งส่งตรวจ Hemolysis,HM 336,PHCH
587,00588,R,2.25,1.33,50,5.3,16.2,72,23.6,32.7,,5.26,8.74,565,15.1,44.4,84.4,28.7,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 184,PHCH
589,00590,R,2.11,1.61,68,5.2,15.3,72.5,24.6,34,,5.1,18.49,603,15.4,47.3,92.7,30.2,32.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 476,PHCH
591,00592,R,2.19,1.43,64,5.3,16.4,74.9,24.2,32.3,,5.28,16.99,567,15.3,45.7,86.6,29,33.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 685,PHCH
592,00593,R,2.19,1.48,54,5.4,16.4,75,24.9,33.1,,5.22,19.56,568,15.4,45.2,86.6,29.6,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 498,PHCH
593,00594,R,2.19,1.5,67,5.4,16,73.1,24.7,33.8,,5.37,19.14,589,15.6,45.5,84.7,29.1,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 149,PHCH
597,00598,R,2.17,1.48,55,5.4,16.2,74.7,24.9,33.3,,5.22,19.33,576,15.5,45.4,87,29.7,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,xn1000,14 พฤษภาคม 2568,,,,HM 1166,PHCH
601,00602,R,2.2,1.4,67,5.4,16.3,74.1,24.5,33.1,,5.32,18.98,590,15.6,45.9,86.3,29.3,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 560,PHCH
603,00604,R,2.18,1.62,60,5.2,16.5,75,23.9,31.5,,5.34,19.56,559,15.2,46.5,87,28.5,32.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1044,NGPH
604,00605,R,2.23,1.51,63,5.4,17.2,77.1,24.2,31.4,,5.36,18.42,571,15.7,47.4,88.4,29.3,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1500,21 พฤษภาคม 2568,,,,HM 183,PHCH
606,00607,R,2.17,1.27,59,5.3,15.9,73.3,24.4,33.3,,5.25,8.49,5.68,15.3,44.9,85.5,29.1,34.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",Sysmex,,XN1000,14 พฤษภาคม 2568,,ใส่หน่วย PLT ผิด,,HM 366,PHCH
610,00611,R,2.18,1.24,61,5.3,16.7,76.6,24.3,31.7,,5.33,19.01,563,15.4,46.8,87.8,28.9,32.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1283,NGPH
616,00617,R,2.2,1.55,63,5.3,16.8,76.4,24.1,31.5,,4.43,18.56,572,14.8,46.7,105.4,33.4,31.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 346,PHCH
623,00624,R,2.22,0.57,54,5.4,17,76.6,24.3,31.8,,5.35,19.67,574,15.3,47.5,88.8,28.6,32.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,21 พฤษภาคม 2568,,,,HM 83,PHGH
637,00638,R,2.22,1.57,57,5.4,16.7,75.2,24.3,32.3,,4.34,17.45,560,14.9,46.8,107.8,34.3,31.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1500,14 พฤษภาคม 2568,,,,HM 364,PHCH
640,00641,R,2.17,1.4,52,5.3,16.4,75.6,24.4,32.3,,5.3,19,528,15.3,46.3,87.4,28.9,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1000,14 พฤษภาคม 2568,,,,HM 368,PHCH
649,00650,R,2.16,0.71,62,5.4,16.2,75,25,33.3,,5.23,18.91,548,15.5,45.6,87.2,29.6,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1130,NGPH
653,00654,R,2.11,1.41,52,5.3,16,75.8,25.1,33.1,,5.32,19.1,573,15.6,46.9,88.2,29.3,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 668,PHCH
661,00662,R,2.11,1.44,76,5.3,21.7,102.8,25.1,24.4,,5.3,19.44,573,15.4,45.9,86.6,29.1,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,21 พฤษภาคม 2568,,,,HM 796,NGPH
668,00669,R,2.19,1.24,59,5.4,16.6,75.8,24.7,32.5,,5.07,8.44,640,15,52.9,104.3,29.6,28.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,21 พฤษภาคม 2568,,,,HM 1010,GNPH
680,00681,R,2.18,1.49,58,5.3,16.4,75.2,24.3,32.3,,5.34,18.96,575,15,46.1,86.3,28.1,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,วัตถุทดสอบ A168 เครื่องไม่สามารถตรวจวิเคราะห์ได้,HM 10,DMS
685,00686,R,2.21,1.41,56,5.5,17,76.9,24.9,32.4,,5.34,19.09,583,15.4,47.4,88.8,28.8,32.5,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-3000,14 พฤษภาคม 2568,Slide Blood smear อาจจะย้อม Slide ไว้นานแล้ว จึงทำให้สีค่อนข้างเพี้ยน (ติดสีแดง) ทำให้เห็นสีส่วนประกอบของ WBC ไม่ชัดเจน เช่น Cytoplasm  Nucleus Granule ทำให้นับแยก WBC ได้ยาก ซึ่งอาจจะทำให้เกิดความผิดพลาดในการนับได้,,,HM 1321,GNPH
694,00695,R,2.15,1.59,63,5.3,16.6,77.2,24.7,31.9,,5.26,19,585,15.5,46.7,88.8,29.5,33.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1500,14 พฤษภาคม 2568,-,,,HM 434,PHCH
700,00701,R,2.19,1.44,56,5.4,16.4,74.9,24.7,32.9,,5.25,19.59,572,15.4,45.8,87.2,29.3,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 987,PHCH
720,00721,R,2.27,1.38,63,5.5,16.7,73.6,24.2,32.9,,5.28,8.87,570,15.3,45.1,85.4,29,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 793,NGPH
736,00737,R,2.19,1.5,64,5.4,16.5,75.3,24.7,32.7,,5.29,19.41,587,15.4,46.5,87.9,29.1,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1986,NGPH
740,00741,R,2.13,1.41,73,5.4,17.7,83.1,25.4,30.5,,5.19,19.39,563,15.3,45.1,86.9,29.5,33.9,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1031,NGPH
762,00763,R,2.11,1.4,82,5.3,22.4,106.2,25.1,23.7,,5.09,19.16,553,15.1,44,86.4,29.7,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 701,GNPH
766,00767,R,2.2,1.19,52,5.4,16.7,75.9,24.5,32.3,,5.37,8.51,596,15.4,47.1,87.7,28.7,32.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1987,NGPH
772,00773,R,2.19,0.65,60,5.3,16.5,75.5,24.2,32.1,,5.4,19.4,566,15.6,47.5,88.1,28.9,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN 1000,14 พฤษภาคม 2568,,,,HM 979,PHCH
826,00828,R,2.22,1.43,64,5.5,16.7,75.2,24.8,32.9,,5.27,18.89,578,15.6,45.6,86.5,29.6,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 751,NGPH
827,00829,R,2.22,1.43,64,5.5,16.7,75.2,24.8,32.9,,5.27,18.89,578,15.6,45.6,86.5,29.6,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1990,NGPH
837,00839,R,2.22,1.55,60,5.5,16.4,73.9,24.8,33.5,,5.3,19.87,553,15.6,45.4,85.7,29.4,34.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,14 พฤษภาคม 2568,,,,HM 99,PHGH
842,00844,R,2.21,1.51,63,5.3,16.4,74.2,24,32.3,,5.39,18.58,583,15.3,46.6,86.5,28.4,32.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 22,DMH
880,00882,R,2.18,1.53,64,5.3,16.4,75.2,24.3,32.3,,5.29,18.49,595,15.3,46.2,87.3,28.9,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1388,GNPH
881,00883,R,2.2,0.59,57,5.4,16.3,74.1,24.4,32.9,,5.3,18.47,560,15.4,45.7,86.1,29,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,xn3100i,21 พฤษภาคม 2568,สไลด์ดิจิทัล ดูยาก,,,HM 590,PHCH
886,00888,R,2.2,0.56,67,5.5,16.3,74.1,25,33.7,,5.3,19.29,577,15.5,45.6,86,29.2,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,21 พฤษภาคม 2568,,,,HM 712,GNPH
888,00890,R,2.16,1.32,61,5.3,16.3,75.5,24.5,32.5,,5.38,19.43,569,15.6,47.2,87.7,29,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1992,PHCH
889,00891,R,2.15,1.46,60,5.2,16,74.4,24.2,32.5,,5.3,19.51,561,15.2,45.9,86.9,28.7,33.1,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 263,PHCH
891,00893,R,2.19,1.39,64,5.4,16.2,74,24.7,33.3,,5.24,19,573,15.3,44.6,85.1,29.2,34.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,Sysmex XN1000,14 พฤษภาคม 2568,,,,HM 517,PHCH
893,00895,R,2.2,1.42,57,5.3,16.3,74.4,24.2,32.5,,5.38,18.51,565,15.5,46.6,86.6,28.8,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,-,,,HM 589,PHCH
901,00903,R,2.18,0.53,63,5.4,16.3,74.7,24.8,33.1,,5.24,19.17,570,15.5,45.6,87,29.6,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 932,PHCH
903,00905,R,2.16,1.47,68,5.4,16.4,73.9,24.8,33.5,,5.21,19.69,562,15.5,44.7,86.4,29.8,34.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,Sysmex-XN-1000,21 พฤษภาคม 2568,,,,HM 153,PHCH
908,00910,R,2.16,1.31,63,5.3,16.1,74.5,24.5,32.9,,5.26,18.65,568,15.4,45.5,86.5,29.3,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 1797,GNPH
911,00913,R,2.18,0.51,58,5.4,16.1,73.9,24.8,33.5,,5.37,18.99,600,15.5,46,85.7,28.9,33.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",503,,XN1000,21 พฤษภาคม 2568,,,,HM 887,NGPH
915,00917,R,2.16,1.38,62,5.3,16.1,74.5,24.5,32.9,,5.31,19.21,596,15.2,46,86.6,28.6,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1500,21 พฤษภาคม 2568,,,,HM 1072,PHCH
916,00918,R,2.16,0.61,57,5.4,16.8,77.8,25,32.1,,5.24,19.15,558,15.4,46.6,88.9,29.4,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 629,PHCH
918,00920,R,2.14,1.47,60,5.5,16,74.8,25.7,34.4,,5.26,19.39,559,15.6,45.6,86.7,29.7,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,xn1000,21 พฤษภาคม 2568,,,,HM 1879,DMS
919,00921,R,2.18,0.5,55,5.4,16.1,73.9,24.8,33.5,,5.31,19.02,574,15.4,45.9,86.4,29,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 220,PHCH
923,00925,R,2.22,1.39,67,5.5,16.2,73,24.8,18.6,,5.47,9.51,563,15.7,46.7,85.4,28.7,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 593,PHCH
924,00926,R,2.14,1.21,66,5.4,15.8,73.8,25.2,34.2,,5.21,7.26,563,15.4,44.5,85.4,29.6,34.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-9202,21 พฤษภาคม 2568,,,,HM 703,GNPH
925,00927,R,2.13,0.67,78,5.4,21.4,100.5,25.4,25.2,,5.34,19.41,601,15.2,46,86.1,28.5,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 458,PHCH
927,00929,R,2.18,1.46,62,5.4,16.1,73.9,24.8,33.5,,4.52,18.4,620,15.3,47.5,105.1,33.8,32.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,14 พฤษภาคม 2568,,,,HM 88,PHGH
931,00934,R,2.18,1.53,61,5.3,16.4,74.9,24.2,32.3,,5.32,18.47,592,15.3,46.3,87,28.8,33,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 302,PHCH
933,00936,R,2.22,1.28,55,5.5,16.4,73.9,24.8,33.5,,5.29,8.24,558,15.4,44.8,84.7,29.1,34.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,14 พฤษภาคม 2568,,,,HM 93,PHGH
935,00938,R,2.2,1.38,64,5.4,16.3,74.1,24.5,33.1,,5.25,19.23,604,15,45.1,85.9,28.6,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 711,GNPH
936,00939,R,2.15,1.42,63,5.4,16.2,75.3,25.1,33.3,,5.21,19,580,15.3,45.3,86.9,29.4,33.8,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN3000,21 พฤษภาคม 2568,,,,HM 1782,GNPH
937,00940,R,2.2,1.42,63,5.4,16.7,75.9,24.5,32.3,,5.22,18.76,590,14.9,46.2,88.5,28.5,32.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1783,GNPH
938,00941,R,2.22,1.58,55,5.4,16.9,76.1,24.3,32,,5.26,19.19,568,15.2,46.5,88.4,28.9,32.7,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1869,GNPH
940,00943,R,2.18,0.63,59,5.5,16.4,75.2,25.2,33.5,,5.28,19.07,583,15.4,46.1,87.3,29.2,33.4,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1763,GNPH
953,00956,R,2.13,1.28,86,5.4,21.9,102.8,25.4,24.7,,5.18,18.72,567,15,44.1,85.1,29,34,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-1000,21 พฤษภาคม 2568,,,,HM 1401,NGPH
955,00958,R,2.18,1.28,58,5.4,16.1,73.9,24.8,33.5,,5.27,8.05,576,15.3,44.8,85,29,34.2,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 856,NGPH
956,00959,R,2.24,1.31,59,5.4,16.5,73.7,24.1,32.7,,4.33,17.69,729,15.4,46.3,106.9,35.6,33.3,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 849,NGPH
958,00961,R,2.09,1.31,89,5.4,21.8,104.3,25.8,24.8,,5.32,19.68,577,15.3,45.5,85.5,28.8,33.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 1530,NGPH
965,00968,R,2.19,1.41,72,5.4,16.6,75.8,24.7,32.5,,4.88,18.02,567,15.2,51.4,105.3,31.1,29.6,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN-3100,21 พฤษภาคม 2568,,,,HM 745,NGPH
970,00973,R,2.22,0.57,76,5.4,17.9,80.6,24.3,30.2,,5.13,18.69,623,15.1,47.2,92,29.4,32,,(500) Sysmex,500,503,"(503) XN Series (XN-10, 1000, 1500, 2000, 3000, 9000)",,,XN1000,21 พฤษภาคม 2568,,,,HM 782,PHCH
